X,dXdt,Phi,Temp_K,,,,
1.42E-06,1.0895904E+00,5.000000 ,595.079342,,,,
6.23E-06,2.5310023E+00,5.000000 ,594.849351,,,,
1.54E-05,4.2507744E+00,5.000000 ,594.629362,,,,
2.94E-05,6.1733351E+00,5.000000 ,594.399375,,,,
4.85E-05,7.9573283E+00,5.000000 ,594.179387,,,,
7.24E-05,9.7104171E+00,5.000000 ,593.949398,,,,
1.01E-04,1.0998004E+01,5.000000 ,593.719406,,,,
1.32E-04,1.2114179E+01,5.000000 ,593.499413,,,,
1.65E-04,1.2152724E+01,5.000000 ,593.279412,,,,
1.97E-04,1.1352616E+01,5.000000 ,593.049405,,,,
2.27E-04,1.0895082E+01,5.000000 ,592.8294,,,,
2.56E-04,1.0661692E+01,5.000000 ,592.599397,,,,
2.84E-04,1.0051212E+01,5.000000 ,592.379391,,,,
3.14E-04,1.2489970E+01,5.000000 ,592.149407,,,,
3.51E-04,1.4918907E+01,5.000000 ,591.929424,,,,
3.94E-04,1.7171459E+01,5.000000 ,591.699439,,,,
4.44E-04,1.9808122E+01,5.000000 ,591.479457,,,,
5.01E-04,2.2308393E+01,5.000000 ,591.249474,,,,
5.64E-04,2.4418486E+01,5.000000 ,591.019488,,,,
6.32E-04,2.5532849E+01,5.000000 ,590.799495,,,,
7.02E-04,2.6531367E+01,5.000000 ,590.579501,,,,
7.75E-04,2.7745258E+01,5.000000 ,590.349508,,,,
8.53E-04,2.9536970E+01,5.000000 ,590.129521,,,,
9.35E-04,3.1168757E+01,5.000000 ,589.899531,,,,
0.00102309,3.4338500E+01,5.000000 ,589.679553,,,,
0.00112046,3.8034105E+01,5.000000 ,589.449579,,,,
0.00122958,4.3008597E+01,5.000000 ,589.229615,,,,
0.00135286,4.8378130E+01,5.000000 ,588.999652,,,,
0.00149119,5.4037229E+01,5.000000 ,588.779693,,,,
0.00164438,5.9507788E+01,5.000000 ,588.549732,,,,
0.00181299,6.5398738E+01,5.000000 ,588.329774,,,,
0.00199767,7.1449749E+01,5.000000 ,588.099817,,,,
0.00219963,7.8316448E+01,5.000000 ,587.869866,,,,
0.00242148,8.6145846E+01,5.000000 ,587.649923,,,,
0.00266618,9.5190993E+01,5.000000 ,587.429988,,,,
0.00293528,1.0413837E+02,5.000000 ,587.200053,,,,
0.00322889,1.1353503E+02,5.000000 ,586.970121,,,,
0.00354824,1.2302510E+02,5.000000 ,586.75019,,,,
0.00389374,1.3292157E+02,5.000000 ,586.520261,,,,
0.00426649,1.4336294E+02,5.000000 ,586.300337,,,,
0.00466832,1.5448184E+02,5.000000 ,586.070418,,,,
0.00510216,1.6701371E+02,5.000000 ,585.850509,,,,
0.00556871,1.7873427E+02,5.000000 ,585.630594,,,,
0.0060722,1.9525186E+02,5.000000 ,585.400714,,,,
0.00663045,2.1843884E+02,5.000000 ,585.180884,,,,
0.00725555,2.4494619E+02,5.000000 ,584.951078,,,,
0.00795653,2.7463588E+02,5.000000 ,584.721296,,,,
0.00874008,3.0610369E+02,5.000000 ,584.501527,,,,
0.00961168,3.4033317E+02,5.000000 ,584.271778,,,,
0.01058128,3.7869643E+02,5.000000 ,584.05206,,,,
0.0116593,4.2033378E+02,5.000000 ,583.822366,,,,
0.01285308,4.6384517E+02,5.000000 ,583.602685,,,,
0.01417295,5.1601452E+02,5.000000 ,583.383069,,,,
0.01565208,5.8187567E+02,5.000000 ,583.153554,,,,
0.01732129,6.5441404E+02,5.000000 ,582.934088,,,,
0.01919698,7.3856456E+02,5.000000 ,582.704707,,,,
0.0213169,8.3472251E+02,5.000000 ,582.485415,,,,
0.02371517,9.4760817E+02,5.000000 ,582.256247,,,,
0.02645193,1.0827470E+03,5.000000 ,582.037243,,,,
0.02957387,1.2335722E+03,5.000000 ,581.808354,,,,
