X,dXdt,Phi,Temp_K,,,,
1.87E-06,2.1830363E+00,5.000000 ,596.513672,,,,
8.02E-06,4.6253467E+00,5.000000 ,596.363666,,,,
1.94E-05,7.9520649E+00,5.000000 ,596.213662,,,,
3.67E-05,1.1048108E+01,5.000000 ,596.063657,,,,
5.90E-05,1.3239071E+01,5.000000 ,595.91365,,,,
8.42E-05,1.4731292E+01,5.000000 ,595.763642,,,,
1.12E-04,1.5328817E+01,5.000000 ,595.613631,,,,
1.40E-04,1.5544253E+01,5.000000 ,595.463619,,,,
1.67E-04,1.4563467E+01,5.000000 ,595.313605,,,,
1.91E-04,1.1948673E+01,5.000000 ,595.163587,,,,
2.11E-04,1.0063185E+01,5.000000 ,595.01357,,,,
2.28E-04,8.7496947E+00,5.000000 ,594.863555,,,,
2.43E-04,8.4763958E+00,5.000000 ,594.713542,,,,
2.57E-04,6.6695543E+00,5.000000 ,594.563526,,,,
2.69E-04,6.5284107E+00,5.000000 ,594.413513,,,,
2.82E-04,8.0889910E+00,5.000000 ,594.263505,,,,
2.98E-04,1.0217970E+01,5.000000 ,594.113499,,,,
3.19E-04,1.2217947E+01,5.000000 ,593.963492,,,,
3.42E-04,1.4170462E+01,5.000000 ,593.813485,,,,
3.70E-04,1.6960607E+01,5.000000 ,593.66348,,,,
4.03E-04,1.9430423E+01,5.000000 ,593.513475,,,,
4.40E-04,2.1157666E+01,5.000000 ,593.363467,,,,
4.79E-04,2.1953692E+01,5.000000 ,593.213458,,,,
5.18E-04,2.0724138E+01,5.000000 ,593.063443,,,,
5.54E-04,1.8666453E+01,5.000000 ,592.913427,,,,
5.84E-04,1.5200756E+01,5.000000 ,592.763407,,,,
6.08E-04,1.1176145E+01,5.000000 ,592.613386,,,,
6.26E-04,8.1524650E+00,5.000000 ,592.463367,,,,
6.38E-04,6.4007634E+00,5.000000 ,592.313351,,,,
6.50E-04,6.2717038E+00,5.000000 ,592.163339,,,,
6.61E-04,6.1732765E+00,5.000000 ,592.013328,,,,
6.73E-04,6.9525100E+00,5.000000 ,591.863318,,,,
6.87E-04,8.3315480E+00,5.000000 ,591.713311,,,,
7.03E-04,1.0173225E+01,5.000000 ,591.563304,,,,
7.24E-04,1.2231445E+01,5.000000 ,591.413298,,,,
7.48E-04,1.4477798E+01,5.000000 ,591.263293,,,,
7.76E-04,1.7137888E+01,5.000000 ,591.113288,,,,
8.10E-04,2.0333181E+01,5.000000 ,590.963285,,,,
8.49E-04,2.2577280E+01,5.000000 ,590.81328,,,,
8.91E-04,2.3991915E+01,5.000000 ,590.663272,,,,
9.35E-04,2.4935316E+01,5.000000 ,590.513264,,,,
9.79E-04,2.3961466E+01,5.000000 ,590.36325,,,,
0.00102036,2.1731800E+01,5.000000 ,590.213234,,,,
0.00105653,1.8092256E+01,5.000000 ,590.063214,,,,
0.00108524,1.3751261E+01,5.000000 ,589.913193,,,,
0.00110635,9.6669992E+00,5.000000 ,589.763172,,,,
0.00112048,6.3114322E+00,5.000000 ,589.613153,,,,
0.00112995,3.9609746E+00,5.000000 ,589.463136,,,,
0.00113463,1.0075557E+00,5.000000 ,589.313119,,,,
0.00113434,-1.3329722E+00,5.000000 ,589.163102,,,,
0.0011299,-3.5322125E+00,5.000000 ,589.013086,,,,
0.00112265,-4.4984557E+00,5.000000 ,588.863074,,,,
0.00111469,-4.0041885E+00,5.000000 ,588.713064,,,,
0.00110989,-1.3500483E+00,5.000000 ,588.56306,,,,
0.00111056,2.2946170E+00,5.000000 ,588.413059,,,,
0.00111771,5.8495561E+00,5.000000 ,588.263057,,,,
0.00113161,9.5081082E+00,5.000000 ,588.113056,,,,
0.00115188,1.2892385E+01,5.000000 ,587.963054,,,,
0.00117747,1.5446527E+01,5.000000 ,587.81305,,,,
0.00120714,1.7285632E+01,5.000000 ,587.663045,,,,
0.00123986,1.8962739E+01,5.000000 ,587.513038,,,,
0.00127457,1.9389178E+01,5.000000 ,587.363029,,,,
0.00130948,1.9457007E+01,5.000000 ,587.213019,,,,
0.00134464,1.9359573E+01,5.000000 ,587.063009,,,,
0.00137828,1.7897219E+01,5.000000 ,586.912995,,,,
0.00140968,1.7313957E+01,5.000000 ,586.762984,,,,
0.00144161,1.8305412E+01,5.000000 ,586.612976,,,,
0.00147681,2.0715057E+01,5.000000 ,586.462972,,,,
0.00151641,2.3267050E+01,5.000000 ,586.312969,,,,
0.00156098,2.6081199E+01,5.000000 ,586.162965,,,,
0.00161117,2.9848620E+01,5.000000 ,586.012965,,,,
0.00166899,3.4411828E+01,5.000000 ,585.862966,,,,
0.00173536,3.9545550E+01,5.000000 ,585.712969,,,,
0.001812,4.5473384E+01,5.000000 ,585.562974,,,,
0.00189922,5.1507363E+01,5.000000 ,585.41298,,,,
